"AverageShortestPathLength","BetweennessCentrality","Classification","ClosenessCentrality","ClusteringCoefficient","ControlCapacity","ControlCentrality","Eccentricity","EdgeCount","Indegree","IsSingleNode","MDS","MSS","name","NeighborhoodConnectivity","Outdegree","PartnerOfMultiEdgedNodePairs","ProbabilityInMSS","selected","SelfLoops","shared name","Stress"
"0.0","0.0","0","0.0","0.0","0.797","1","0","1","1","false","false","false","ZMAT4","6.0","0","0","0.786","false","0","ZMAT4","0"
"0.0","0.0","1","0.0","0.0","0.0","1","0","1","1","false","false","false","VTI1B","1.0","0","0","0.0","false","0","VTI1B","0"
"1.0","0.0","1","1.0","0.0","1.0","2","1","1","0","false","true","true","GABARAPL1","1.0","1","0","1.0","false","0","GABARAPL1","0"
"0.0","0.0","0","0.0","0.0","0.615","1","0","1","1","false","false","false","VSNL1","2.0","0","0","0.518","false","0","VSNL1","0"
"0.0","0.0","0","0.0","0.0","0.46","1","0","1","1","false","false","false","TUBA8","2.0","0","0","0.148","false","0","TUBA8","0"
"0.0","0.0","1","0.0","0.0","0.0","1","0","1","1","false","false","false","TTC3","2.0","0","0","0.0","false","0","TTC3","0"
"0.0","0.0","0","0.0","0.0","0.366","1","0","1","1","false","false","false","TRO","2.0","0","0","0.506","false","0","TRO","0"
"0.0","0.0","0","0.0","0.0","0.745","1","0","1","1","false","true","true","TOX","6.0","0","0","0.823","false","0","TOX","0"
"1.0","0.0","2","1.0","0.0","0.0","2","1","2","1","false","false","true","TIMM17A","1.0","1","1","0.504","false","0","TIMM17A","0"
"1.0","0.0","2","1.0","0.0","0.0","2","1","2","1","false","false","false","UQCRQ","1.0","1","1","0.496","false","0","UQCRQ","0"
"1.5","0.4285714285714286","2","0.6666666666666666","0.0","0.0","3","2","2","1","false","false","false","UNC119","2.0","1","0","0.0","false","0","UNC119","180"
"0.0","0.0","1","0.0","0.0","0.0","1","0","1","1","false","false","false","TBC1D4","2.0","0","0","0.0","false","0","TBC1D4","0"
"1.0","0.5","1","1.0","0.0","0.37","2","1","2","1","false","false","false","YWHAH","1.5","1","0","0.0","false","0","YWHAH","3"
"0.0","0.0","1","0.0","0.0","0.0","1","0","1","1","false","false","false","SYT1","1.0","0","0","0.0","false","0","SYT1","0"
"1.0","0.0","1","1.0","0.0","1.0","2","1","1","0","false","true","true","PCSK2","1.0","1","0","1.0","false","0","PCSK2","0"
"0.0","0.0","0","0.0","0.0","0.778","1","0","1","1","false","true","true","SLC17A6","6.0","0","0","0.809","false","0","SLC17A6","0"
"0.0","0.0","0","0.0","0.0","0.852","1","0","1","1","false","false","false","SEPT6","7.0","0","0","0.843","false","0","SEPT6","0"
"0.0","0.0","0","0.0","0.0","0.509","1","0","1","1","false","false","false","RUSC1","2.0","0","0","0.488","false","0","RUSC1","0"
"1.5","0.2566666666666667","2","0.6666666666666666","0.0","0.0","3","2","4","3","false","false","false","RTN1","2.3333333333333335","1","1","0.0","false","0","RTN1","154"
"2.0","0.09000000000000001","1","0.5","0.0","0.861","4","3","2","1","false","true","true","TAGLN3","5.0","1","0","0.812","false","0","TAGLN3","54"
"0.0","0.0","1","0.0","0.0","0.0","1","0","1","1","false","false","false","REEP2","1.0","0","0","0.0","false","0","REEP2","0"
"1.0","0.0","1","1.0","0.0","1.0","2","1","1","0","false","true","true","RAB3A","1.0","1","0","1.0","false","0","RAB3A","0"
"0.0","0.0","0","0.0","0.0","0.685","1","0","1","1","false","false","false","RASAL2","5.0","0","0","0.669","false","0","RASAL2","0"
"1.0","0.0","0","1.0","0.0","1.0","2","1","1","0","false","true","true","SNAP25","3.0","1","0","1.0","false","0","SNAP25","0"
"0.0","0.0","1","0.0","0.0","0.0","1","0","3","3","false","false","false","RAB15","3.0","0","0","0.0","false","0","RAB15","0"
"0.0","0.0","1","0.0","0.0","0.0","1","0","1","1","false","false","false","PSMG1","2.0","0","0","0.0","false","0","PSMG1","0"
"1.0","0.155","2","1.0","0.0","0.0","2","1","3","1","false","false","false","STMN2","2.0","2","1","0.0","false","0","STMN2","93"
"2.0","0.5142857142857143","1","0.5","0.0","0.569","4","3","2","1","false","false","false","PRKG2","2.5","1","0","0.528","false","0","PRKG2","216"
"0.0","0.0","0","0.0","0.0","0.755","1","0","1","1","false","false","false","PRKCE","3.0","0","0","0.546","false","0","PRKCE","0"
"0.0","0.0","1","0.0","0.0","0.0","1","0","1","1","false","false","false","PPFIBP1","1.0","0","0","0.0","false","0","PPFIBP1","0"
"1.0","0.0","1","1.0","0.0","1.0","2","1","1","0","false","true","true","ARNTL2","1.0","1","0","1.0","false","0","ARNTL2","0"
"0.0","0.0","0","0.0","0.0","0.633","1","0","1","1","false","false","false","PITPNB","3.0","0","0","0.525","false","0","PITPNB","0"
"0.0","0.0","1","0.0","0.0","0.0","1","0","1","1","false","false","false","PFKM","1.0","0","0","0.0","false","0","PFKM","0"
"1.0","0.0","1","1.0","0.0","1.0","2","1","1","0","false","true","true","ENO2","1.0","1","0","1.0","false","0","ENO2","0"
"0.0","0.0","0","0.0","0.0","0.801","1","0","1","1","false","true","true","PEG3","6.0","0","0","0.804","false","0","PEG3","0"
"0.0","0.0","1","0.0","0.0","0.0","1","0","1","1","false","false","false","PANK2","1.0","0","0","0.0","false","0","PANK2","0"
"1.0","0.0","1","1.0","0.0","1.0","2","1","1","0","false","true","true","ATP1A3","1.0","1","0","1.0","false","0","ATP1A3","0"
"0.0","0.0","0","0.0","0.0","0.431","1","0","1","1","false","true","true","OXR1","3.0","0","0","0.472","false","0","OXR1","0"
"0.0","0.0","1","0.0","0.0","0.0","1","0","1","1","false","false","false","NIPAL2","1.0","0","0","0.0","false","0","NIPAL2","0"
"1.0","0.0","1","1.0","0.0","1.0","2","1","1","0","false","true","true","GUCY1A2","1.0","1","0","1.0","false","0","GUCY1A2","0"
"0.0","0.0","0","0.0","0.0","0.813","1","0","1","1","false","false","false","NEFH","6.0","0","0","0.789","false","0","NEFH","0"
"0.0","0.0","1","0.0","0.0","0.0","1","0","1","1","false","false","false","NCALD","2.0","0","0","0.0","false","0","NCALD","0"
"1.0","0.41666666666666663","1","1.0","0.0","0.498","2","1","2","1","false","false","false","TUBA4A","2.0","1","0","0.498","false","0","TUBA4A","5"
"1.0","0.3333333333333333","1","1.0","0.0","0.385","2","1","2","1","false","true","true","MLLT11","1.5","1","0","0.482","false","0","MLLT11","2"
"1.3333333333333333","0.0","1","0.75","0.0","1.0","3","2","2","0","false","true","true","SYT13","1.5","2","0","1.0","false","0","SYT13","0"
"0.0","0.0","0","0.0","0.0","0.634","1","0","1","1","false","true","true","MAPK8","2.0","0","0","0.494","false","0","MAPK8","0"
"1.0","0.0","1","1.0","0.0","1.0","2","1","2","0","false","true","true","CACNB4","1.0","2","0","1.0","false","0","CACNB4","0"
"0.0","0.0","0","0.0","0.0","0.591","1","0","1","1","false","false","false","LIMK1","3.0","0","0","0.479","false","0","LIMK1","0"
"1.3333333333333333","0.09285714285714286","1","0.75","0.0","0.613","3","2","3","1","false","true","true","PAK1","2.0","2","0","0.549","false","0","PAK1","39"
"0.0","0.0","1","0.0","0.0","0.0","1","0","1","1","false","false","false","KIAA0232","1.0","0","0","0.0","false","0","KIAA0232","0"
"1.0","0.0","1","1.0","0.0","1.0","2","1","1","0","false","true","true","SULT4A1","1.0","1","0","1.0","false","0","SULT4A1","0"
"0.0","0.0","0","0.0","0.0","0.611","1","0","1","1","false","false","false","KCNC1","4.0","0","0","0.467","false","0","KCNC1","0"
"1.0","0.07166666666666667","1","1.0","0.0","0.0","2","1","2","1","false","false","false","KCNAB2","2.5","1","0","0.0","false","0","KCNAB2","43"
"1.5","0.060000000000000005","1","0.6666666666666666","0.0","0.796","3","2","2","1","false","true","true","MAST1","4.5","1","0","0.819","false","0","MAST1","36"
"0.0","0.0","0","0.0","0.0","0.741","1","0","1","1","false","true","true","KCNA2","6.0","0","0","0.796","false","0","KCNA2","0"
"0.0","0.0","1","0.0","0.0","0.0","1","0","1","1","false","false","false","KCNA1","2.0","0","0","0.0","false","0","KCNA1","0"
"2.0","0.0","1","0.5","0.0","0.63","4","3","2","1","false","true","true","INPP4B","2.0","1","1","1.0","false","0","INPP4B","0"
"1.3333333333333333","0.6666666666666666","2","0.75","0.0","0.0","3","2","3","1","false","false","false","INPP5J","1.5","2","1","0.085","false","0","INPP5J","4"
"0.0","0.0","1","0.0","0.0","0.0","1","0","1","1","false","false","false","INA","1.0","0","0","0.0","false","0","INA","0"
"1.0","0.0","1","1.0","0.0","1.0","2","1","1","0","false","true","true","ELOVL4","1.0","1","0","1.0","false","0","ELOVL4","0"
"0.0","0.0","1","0.0","0.0","0.0","1","0","1","1","false","false","false","IL1RAP","1.0","0","0","0.0","false","0","IL1RAP","0"
"1.0","0.0","1","1.0","0.0","1.0","2","1","1","0","false","true","true","SLITRK3","1.0","1","0","1.0","false","0","SLITRK3","0"
"1.5","0.0","1","0.6666666666666666","0.0","1.0","3","2","1","0","false","true","true","PDE10A","2.0","1","0","1.0","false","0","PDE10A","0"
"0.0","0.0","1","0.0","0.0","0.0","1","0","1","1","false","false","false","GPR22","1.0","0","0","0.0","false","0","GPR22","0"
"1.0","0.0","1","1.0","0.0","1.0","2","1","1","0","false","true","true","GABRA4","1.0","1","0","1.0","false","0","GABRA4","0"
"0.0","0.0","0","0.0","0.0","0.491","1","0","1","1","false","true","true","GABRD","2.0","0","0","0.512","false","0","GABRD","0"
"1.0","0.0","1","1.0","0.0","1.0","2","1","2","0","false","true","true","CALY","1.0","2","0","1.0","false","0","CALY","0"
"0.0","0.0","1","0.0","0.0","0.0","1","0","1","1","false","false","false","GABRB3","1.0","0","0","0.0","false","0","GABRB3","0"
"1.0","0.0","1","1.0","0.0","1.0","2","1","1","0","false","true","true","SLC7A8","1.0","1","0","1.0","false","0","SLC7A8","0"
"0.0","0.0","0","0.0","0.0","0.91","1","0","1","1","false","true","true","GABRA1","7.0","0","0","0.846","false","0","GABRA1","0"
"3.8","0.0","1","0.2631578947368421","0.0","0.423","8","7","2","1","false","true","true","GABBR2","2.0","1","1","1.0","false","0","GABBR2","0"
"2.9","0.19285714285714287","2","0.3448275862068966","0.0","0.0","7","6","3","1","false","false","false","IPCEF1","3.0","2","1","0.076","false","0","IPCEF1","81"
"0.0","0.0","1","0.0","0.0","0.0","1","0","1","1","false","false","false","FXYD7","1.0","0","0","0.0","false","0","FXYD7","0"
"1.0","0.0","1","1.0","0.0","1.0","2","1","1","0","false","true","true","ATP1B3","1.0","1","0","1.0","false","0","ATP1B3","0"
"1.0","0.08333333333333333","1","1.0","0.0","0.563","2","1","2","1","false","false","false","FGF14","2.0","1","0","0.655","false","0","FGF14","1"
"0.0","0.0","0","0.0","0.0","0.693","1","0","1","1","false","true","true","FGF13","3.0","0","0","0.672","false","0","FGF13","0"
"0.0","0.0","0","0.0","0.0","0.546","1","0","1","1","false","false","false","FGF12","2.0","0","0","0.165","false","0","FGF12","0"
"0.0","0.0","1","0.0","0.0","0.0","1","0","1","1","false","false","false","FAM49A","1.0","0","0","0.0","false","0","FAM49A","0"
"1.0","0.0","1","1.0","0.0","1.0","2","1","1","0","false","true","true","FAR2","1.0","1","0","1.0","false","0","FAR2","0"
"0.0","0.0","0","0.0","0.0","0.561","1","0","1","1","false","true","true","FAM110B","4.0","0","0","0.533","false","0","FAM110B","0"
"2.727272727272727","0.7333333333333334","2","0.3666666666666667","0.0","0.0","7","6","4","1","false","false","false","SNAP91","2.25","3","0","0.0","false","0","SNAP91","308"
"1.5","1.5","2","0.6666666666666666","0.5","0.0","3","2","2","1","false","false","true","ESRRG","2.0","1","0","0.337","false","0","ESRRG","3"
"0.0","0.0","0","0.0","0.0","0.407","1","0","1","1","false","false","false","EPB41L3","2.0","0","0","0.508","false","0","EPB41L3","0"
"0.0","0.0","1","0.0","0.0","0.0","1","0","1","1","false","false","false","ELAVL2","1.0","0","0","0.0","false","0","ELAVL2","0"
"1.0","0.0","1","1.0","0.0","1.0","2","1","1","0","false","true","true","GAP43","1.0","1","0","1.0","false","0","GAP43","0"
"0.0","0.0","0","0.0","0.0","0.889","1","0","1","1","false","true","true","EHBP1","7.0","0","0","0.821","false","0","EHBP1","0"
"0.0","0.0","1","0.0","0.0","0.0","1","0","1","1","false","false","false","EEF1A2","2.0","0","0","0.0","false","0","EEF1A2","0"
"1.0","0.22619047619047622","2","1.0","0.0","0.0","2","1","2","1","false","false","false","TFPT","1.5","1","0","0.0","false","0","TFPT","95"
"0.0","0.0","0","0.0","0.0","0.529","1","0","1","1","false","false","false","DPP6","3.0","0","0","0.476","false","0","DPP6","0"
"2.6666666666666665","0.0","1","0.375","0.0","0.819","7","5","2","1","false","true","true","DNM1","7.0","1","1","1.0","false","0","DNM1","0"
"0.0","0.0","0","0.0","0.0","0.873","1","0","1","1","false","true","true","DIRAS2","7.0","0","0","0.859","false","0","DIRAS2","0"
"1.75","0.2016666666666667","2","0.5714285714285714","0.0","0.0","6","4","8","1","false","false","false","NRIP3","1.2857142857142858","7","1","0.088","false","0","NRIP3","121"
"1.5","1.0","2","0.6666666666666666","0.5","0.0","3","2","2","1","false","false","false","DENND5B","2.0","1","0","0.342","false","0","DENND5B","2"
"1.5","0.5","2","0.6666666666666666","0.5","0.0","3","2","2","1","false","false","false","FSTL4","2.0","1","0","0.321","false","0","FSTL4","1"
"0.0","0.0","0","0.0","0.0","0.834","1","0","1","1","false","true","true","CRMP1","6.0","0","0","0.814","false","0","CRMP1","0"
"0.0","0.0","0","0.0","0.0","0.744","1","0","1","1","false","true","true","CNTNAP1","3.0","0","0","0.673","false","0","CNTNAP1","0"
"1.25","0.0","1","0.8","0.0","1.0","3","2","3","0","false","true","true","SCN8A","1.3333333333333333","3","0","1.0","false","0","SCN8A","0"
"2.2","0.6666666666666667","1","0.45454545454545453","0.0","0.627","5","4","3","1","false","true","true","CNNM1","2.6666666666666665","2","0","0.659","false","0","CNNM1","280"
"3.5","0.37142857142857144","1","0.2857142857142857","0.0","0.357","8","7","2","1","false","false","false","CLTB","3.0","1","0","0.171","false","0","CLTB","156"
"0.0","0.0","1","0.0","0.0","0.0","1","0","1","1","false","false","false","CLGN","2.0","0","0","0.0","false","0","CLGN","0"
"1.0","0.03571428571428572","1","1.0","0.0","0.409","2","1","2","1","false","true","true","PHTF1","2.0","1","0","0.521","false","0","PHTF1","15"
"0.0","0.0","0","0.0","0.0","0.688","1","0","1","1","false","true","true","CIT","5.0","0","0","0.672","false","0","CIT","0"
"2.375","0.8761904761904763","1","0.42105263157894735","0.0","0.405","6","5","5","2","false","false","false","GRIN1","2.2","3","0","0.0","false","0","GRIN1","368"
"0.0","0.0","0","0.0","0.0","0.91","1","0","1","1","false","true","true","CHRNB2","6.0","0","0","0.8","false","0","CHRNB2","0"
"3.6842105263157894","0.18571428571428572","1","0.2714285714285714","0.0","0.632","9","8","3","1","false","true","true","CHRM2","2.5","2","1","0.906","false","0","CHRM2","78"
"4.105263157894737","0.08333333333333334","1","0.24358974358974356","0.0","0.643","10","9","4","1","false","true","true","GNB5","2.0","3","1","0.836","false","0","GNB5","35"
"0.0","0.0","1","0.0","0.0","0.0","1","0","1","1","false","false","false","CHML","2.0","0","0","0.0","false","0","CHML","0"
"1.0","0.065","1","1.0","0.0","0.367","2","1","2","1","false","true","true","RAB6B","2.0","1","0","0.475","false","0","RAB6B","39"
"1.3333333333333333","0.5","1","0.75","0.0","0.482","3","2","3","1","false","true","true","TUBB2A","1.5","2","1","0.822","false","0","TUBB2A","3"
"2.0","0.0","1","0.5","0.0","1.0","4","3","1","0","false","true","true","PAK7","3.0","1","0","1.0","false","0","PAK7","0"
"0.0","0.0","1","0.0","0.0","0.0","1","0","1","1","false","false","false","CD83","1.0","0","0","0.0","false","0","CD83","0"
"1.0","0.0","1","1.0","0.0","1.0","2","1","1","0","false","true","true","THY1","1.0","1","0","1.0","false","0","THY1","0"
"1.0","0.0","2","1.0","0.0","0.0","2","1","2","1","false","false","true","CCNB1","1.0","1","1","0.49","false","0","CCNB1","0"
"1.0","0.0","2","1.0","0.0","0.0","2","1","2","1","false","false","false","FBXW7","1.0","1","1","0.51","false","0","FBXW7","0"
"1.0","0.0","2","1.0","0.0","0.0","2","1","2","1","false","false","true","CCDC68","1.0","1","1","0.505","false","0","CCDC68","0"
"1.0","0.0","2","1.0","0.0","0.0","2","1","2","1","false","false","false","PLEKHG3","1.0","1","1","0.495","false","0","PLEKHG3","0"
"1.875","0.125","1","0.5333333333333333","0.0","0.943","4","3","3","1","false","true","true","CACNA1C","3.5","2","1","0.974","false","0","CACNA1C","7"
"1.25","0.8571428571428571","1","0.8","0.0","0.454","3","2","7","1","false","true","true","RBFOX1","1.3333333333333333","6","1","0.841","false","0","RBFOX1","48"
"2.4","0.0","1","0.4166666666666667","0.0","0.443","5","4","2","1","false","true","true","BSCL2","3.0","1","1","1.0","false","0","BSCL2","0"
"0.0","0.0","0","0.0","0.0","0.557","1","0","1","1","false","false","false","B4GALT6","3.0","0","0","0.0","false","0","B4GALT6","0"
"1.6","0.15333333333333335","2","0.625","0.0","0.0","4","3","4","1","false","false","false","CDS1","1.6666666666666667","3","1","0.085","false","0","CDS1","92"
"0.0","0.0","0","0.0","0.0","0.568","1","0","1","1","false","false","false","B4GALNT1","2.0","0","0","0.508","false","0","B4GALNT1","0"
"1.5","0.0","1","0.6666666666666666","0.0","1.0","3","2","2","0","false","true","true","TSPAN13","2.0","2","0","1.0","false","0","TSPAN13","0"
"0.0","0.0","0","0.0","0.0","0.471","1","0","1","1","false","true","true","ATP8A2","3.0","0","0","0.524","false","0","ATP8A2","0"
"1.0","0.8333333333333333","1","1.0","0.0","0.432","2","1","3","1","false","true","true","NT5DC3","1.3333333333333333","2","0","0.492","false","0","NT5DC3","10"
"0.0","0.0","0","0.0","0.0","0.502","1","0","1","1","false","true","true","ARHGAP44","3.0","0","0","0.502","false","0","ARHGAP44","0"
"1.3333333333333333","0.75","2","0.75","0.0","0.0","3","2","3","1","false","false","false","CDC42","1.3333333333333333","2","0","0.0","false","0","CDC42","9"
"1.3333333333333333","0.095","1","0.75","0.0","0.702","3","2","3","1","false","true","true","APBA1","3.0","2","0","0.801","false","0","APBA1","57"
"1.4444444444444444","0.0","1","0.6923076923076923","0.0","1.0","4","3","6","0","false","true","true","STXBP1","1.6666666666666667","6","0","1.0","false","0","STXBP1","0"
"0.0","0.0","1","0.0","0.0","0.0","1","0","1","1","false","false","false","ANXA6","1.0","0","0","0.0","false","0","ANXA6","0"
"1.0","0.0","1","1.0","0.0","1.0","2","1","1","0","false","true","true","GPI","1.0","1","0","1.0","false","0","GPI","0"
"0.0","0.0","0","0.0","0.0","0.518","1","0","1","1","false","false","false","ANAPC1","2.0","0","0","0.184","false","0","ANAPC1","0"
"1.3333333333333333","0.3333333333333333","1","0.75","0.0","0.54","3","2","3","1","false","true","true","CENPJ","1.5","2","1","0.857","false","0","CENPJ","2"
"0.0","0.0","1","0.0","0.0","0.0","1","0","1","1","false","false","false","AHNAK2","2.0","0","0","0.0","false","0","AHNAK2","0"
"1.0","1.0","2","1.0","0.0","0.0","2","1","2","1","false","false","false","GUCY1B3","1.0","1","0","0.0","false","0","GUCY1B3","2"
"0.0","0.0","1","0.0","0.0","0.0","1","0","1","1","false","false","false","AGGF1","2.0","0","0","0.0","false","0","AGGF1","0"
"1.0","0.26785714285714285","1","1.0","0.0","0.936","2","1","2","1","false","true","true","CAMK2B","3.5","1","0","0.804","false","0","CAMK2B","15"
"0.0","0.0","1","0.0","0.0","0.0","1","0","1","1","false","false","false","AFF2","1.0","0","0","0.0","false","0","AFF2","0"
"1.0","0.0","1","1.0","0.0","1.0","2","1","1","0","false","true","true","TSPAN7","1.0","1","0","1.0","false","0","TSPAN7","0"
"0.0","0.0","0","0.0","0.0","0.593","1","0","1","1","false","true","true","ADAM23","2.0","0","0","0.492","false","0","ADAM23","0"
"1.0","0.0","1","1.0","0.0","1.0","2","1","2","0","false","true","true","ADAM22","1.0","2","0","1.0","false","0","ADAM22","0"
"0.0","0.0","1","0.0","0.0","0.0","1","0","1","1","false","false","false","AAGAB","1.0","0","0","0.0","false","0","AAGAB","0"
"1.0","0.0","1","1.0","0.0","1.0","2","1","1","0","false","true","true","AMPH","1.0","1","0","1.0","false","0","AMPH","0"
